title,movieId,rating
Match Point,41285,
Being John Malkovich,2997,
Sherlock Holmes: A Game of Shadows,91542,
The Judge,115170,
Road to Perdition,5464,
Monsters University,103141,4
Serbuan maut,93838,
The Devil's Advocate,1645,
The Artist,89904,
Rise of the Guardians,98243,3.5
Gangs of New York,5956,
22 Jump Street,112138,4
Les Misérables,99149,
The Intern,140110,
Contact,1584,
Fear and Loathing in Las Vegas,1884,
The Secret Life of Walter Mitty,106918,
The Wrestler,64839,
The Devil Wears Prada,45720,4.5
28 Days Later,6502,
The Hunger Games,91500,3.5
Mad Max 2,3703,
Total Recall,2916,
The Crow,353,
Finding Neverland,8970,
The Fugitive,457,
Watchmen,60684,
When Harry Met Sally...,1307,
Brooklyn,127108,
Skyfall,96079,4
A Nightmare on Elm Street,1347,
End of Watch,96811,
The Illusionist,47610,
127 Hours,81562,4.5
Crash,33166,
The Evil Dead,4105,
The Godfather: Part III,2023,
"Crazy, Stupid, Love.",88163,
The Butler,104337,
Close Encounters of the Third Kind,3471,
Juno,56367,
Beetlejuice,2174,
I Am Legend,56174,4.5
Silver Linings Playbook,97921,
Divergent,108190,
Hugo,90866,
Pirates of the Caribbean: At World's End,53125,5
Superbad,54503,
Batman,592,
Batman,26152,
Men in Black,1580,5
Lo imposible,99145,
Enemy at the Gates,4223,
Goldfinger,2947,
Lilo & Stitch,5444,
The Conjuring 2,159858,
The Terminal,8529,5
The Hunt for Red October,1610,
Love Actually,6942,
Treasure Planet,5882,
Eyes Wide Shut,2712,
卧虎藏龙,3996,5
21 Grams,6953,
As Good as It Gets,1784,
Pretty Woman,597,
Stardust,54259,
Kung Fu Panda,59784,5
Perfume: The Story of a Murderer,48997,
Kiss Kiss Bang Bang,38061,
Mrs. Doubtfire,500,
Troy,7458,
Airplane!,2791,
Identity,6323,
Dracula,1339,
The Aviator,30812,
Iron Man 3,102125,4
Scream,1407,
The Town,80489,
Collateral,8798,
Mean Girls,7451,
Moneyball,89492,
The Simpsons Movie,54272,
Lord of War,36529,
The Vow,92509,
[REC],57274,
Die Hard: With a Vengeance,165,
Spider-Man,5349,
Notting Hill,2671,
50/50,89864,
Thor: The Dark World,106072,4
Unbreakable,3994,
"South Park: Bigger, Longer & Uncut",2700,
Snow White and the Seven Dwarfs,594,
A Few Good Men,2268,
Sunshine,52328,
X-Men,3793,
Mission: Impossible - Ghost Protocol,91630,4
Invictus,72733,
Bridge to Terabithia,50601,
The Bucket List,56587,
Blue Jasmine,103980,
X2,6333,
Mud,102194,
From Dusk Till Dawn,70,
Gremlins,2003,
Equilibrium,5903,
We're the Millers,104211,
The Neverending Story,2161,
War Horse,91126,
Shooter,51935,
The Rock,733,
One Day,88179,
American Hustle,106916,
Wild,118900,
Hotel Transylvania,97225,
Pinocchio,596,
Marley & Me,65230,
Ghost,587,
10 Cloverfield Lane,152077,
The Lincoln Lawyer,84392,
The Croods,101142,5
Melancholia,86320,
A Bug's Life,2355,
Shame,90531,
Non-Stop,109578,
3:10 to Yuma,54997,
Meet Joe Black,2340,
A.I. Artificial Intelligence,4370,
Pitch Perfect 2,133419,
The Walk,138208,
Cube,2232,
World War Z,103249,
Speed,377,
Babel,46723,
Insidious,85788,
Superman,2640,
Pacific Rim,103228,3.5
The Place Beyond the Pines,101525,
Brave,95167,
8 Mile,5810,
Big,2797,
Spider-Man 2,8636,4
P.S. I Love You,56941,
Face/Off,1573,
Steve Jobs,136562,
Bicentennial Man,3156,
21 Jump Street,93510,
Remember Me,75341,
Home,130520,
Dr. No,2949,
"I, Robot",8644,4
The Last Song,77414,4.5
Charlie and the Chocolate Factory,30793,
The Next Three Days,81788,
The Matrix Reloaded,6365,
In Time,90405,
The Karate Kid,2420,
Blue Valentine,78039,
Bambi,2018,
Independence Day,780,
Now You See Me 2,159093,4
The Passion of the Christ,7318,
The DUFF,126548,
Shrek 2,8360,
The Jungle Book,137857,
Snowpiercer,107406,4.5
Mission: Impossible,648,4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",41566,
Focus,129354,
Big Eyes,118985,
Cinderella,130073,
Insomnia,5388,
The Hunchback of Notre Dame,783,
True Lies,380,
Easy A,80549,
The Patriot,3753,
The Road,63072,
The Adventures of Tintin,90746,
The Spectacular Now,103539,
Dawn of the Dead,7360,
The Descent,40732,
Megamind,81564,
Kung Fu Panda 2,87222,4.5
The Proposal,69406,
Beverly Hills Cop,4085,
Pitch Black,3300,
The World's End,103341,
Chocolat,4014,
Everest,142448,
The Lucky One,94325,
Zero Dark Thirty,98961,
Top Gun,1101,
Kung Fu Panda 3,149406,
Desperado,163,
Sinister,97188,
Starship Troopers,1676,
Captain America: The First Avenger,88140,
Iron Man 2,77561,4
Hotel Transylvania 2,142997,4
